semaforo,motivo,detected_at,entidad,fuente_url,document_url,status,priority,aplica_sura,link_status,link_error,notes
ROJO,Pendiente de revisión prioritaria (alta),2026-04-29 09:41:44,DIAN,https://regulatory.gov/source/2,https://regulatory.gov/docs/normativa_057.pdf,en_validacion,alta,si,ok,,Caso de prueba 57
ROJO,Pendiente de revisión prioritaria (alta),2026-05-02 09:41:44,Procuraduría,https://regulatory.gov/source/4,https://regulatory.gov/docs/normativa_024.pdf,detectado,alta,si,ok,,Caso de prueba 24
ROJO,Pendiente de revisión prioritaria (alta),2026-05-05 09:41:44,Superintendencia Financiera,https://regulatory.gov/source/1,https://regulatory.gov/docs/normativa_021.pdf,en_validacion,alta,si,ok,,Caso de prueba 21
ROJO,Pendiente de revisión prioritaria (alta),2026-05-08 09:41:44,Banco de la República,https://regulatory.gov/source/3,https://regulatory.gov/docs/normativa_048.pdf,detectado,alta,si,ok,,Caso de prueba 48
ROJO,Pendiente de revisión prioritaria (alta),2026-05-11 09:41:44,Superintendencia de Sociedades,https://regulatory.gov/source/0,https://regulatory.gov/docs/normativa_045.pdf,en_validacion,alta,si,ok,,Caso de prueba 45
ROJO,Pendiente de revisión prioritaria (alta),2026-05-14 09:41:44,DIAN,https://regulatory.gov/source/2,https://regulatory.gov/docs/normativa_012.pdf,detectado,alta,si,ok,,Caso de prueba 12
ROJO,Pendiente de revisión prioritaria (alta),2026-05-14 09:41:44,DIAN,https://regulatory.gov/source/2,https://regulatory.gov/docs/normativa_072.pdf,detectado,alta,si,ok,,Caso de prueba 72
ROJO,Pendiente de revisión prioritaria (alta),2026-05-17 09:41:44,Procuraduría,https://regulatory.gov/source/4,https://regulatory.gov/docs/normativa_009.pdf,en_validacion,alta,si,ok,,Caso de prueba 9
ROJO,Pendiente de revisión prioritaria (alta),2026-05-17 09:41:44,Procuraduría,https://regulatory.gov/source/4,https://regulatory.gov/docs/normativa_069.pdf,en_validacion,alta,si,ok,,Caso de prueba 69
ROJO,Pendiente de revisión prioritaria (alta),2026-05-20 09:41:44,Superintendencia Financiera,https://regulatory.gov/source/1,https://regulatory.gov/docs/normativa_036.pdf,detectado,alta,si,ok,,Caso de prueba 36
ROJO,Pendiente de revisión prioritaria (alta),2026-05-23 09:41:44,Banco de la República,https://regulatory.gov/source/3,https://regulatory.gov/docs/normativa_033.pdf,en_validacion,alta,si,ok,,Caso de prueba 33
ROJO,Pendiente de revisión prioritaria (alta),2026-05-26 09:41:44,Superintendencia de Sociedades,https://regulatory.gov/source/0,https://regulatory.gov/docs/normativa_000.pdf,detectado,alta,si,ok,,Caso de prueba 0
ROJO,Pendiente de revisión prioritaria (alta),2026-05-26 09:41:44,Superintendencia de Sociedades,https://regulatory.gov/source/0,https://regulatory.gov/docs/normativa_060.pdf,detectado,alta,si,ok,,Caso de prueba 60
AMARILLO,Pendiente de revisión manual,2026-04-27 09:41:44,Procuraduría,https://regulatory.gov/source/4,https://regulatory.gov/docs/normativa_029.pdf,en_validacion,baja,parcial,http_404,Error de conexión,Caso de prueba 29
AMARILLO,Pendiente de revisión manual,2026-04-28 09:41:44,Banco de la República,https://regulatory.gov/source/3,https://regulatory.gov/docs/normativa_028.pdf,detectado,media,no,timeout,Error de conexión,Caso de prueba 28
AMARILLO,"Validado, falta consolidar",2026-04-28 09:41:44,Banco de la República,https://regulatory.gov/source/3,https://regulatory.gov/docs/normativa_058.pdf,validado,media,no,timeout,Error de conexión,Caso de prueba 58
AMARILLO,"Validado, falta consolidar",2026-04-30 09:41:44,Superintendencia Financiera,https://regulatory.gov/source/1,https://regulatory.gov/docs/normativa_026.pdf,validado,baja,parcial,http_404,Error de conexión,Caso de prueba 26
AMARILLO,Pendiente de revisión manual,2026-04-30 09:41:44,Superintendencia Financiera,https://regulatory.gov/source/1,https://regulatory.gov/docs/normativa_056.pdf,detectado,baja,parcial,http_404,Error de conexión,Caso de prueba 56
AMARILLO,Pendiente de revisión manual,2026-05-01 09:41:44,Superintendencia de Sociedades,https://regulatory.gov/source/0,https://regulatory.gov/docs/normativa_025.pdf,en_validacion,media,no,timeout,Error de conexión,Caso de prueba 25
